old parser:अ	(set! wordstruct '( (( "a" ) 0) ))	
new parser:अ	(set! wordstruct '( (( "a" ) 0) ))
old parser:अंडरवुड	(set! wordstruct '( (( "a" "q" "dx" ) 0) (( "r" "a" ) 0) (( "w" "u" "dx" ) 0) ))
new parser:अंडरवुड	(set! wordstruct '( (( "a" "q" ) 0) (( "dx" "a" "r" ) 0) (( "w" "u" "dx" ) 0) ))
old parser:अंतरराष्ट्रीय	(set! wordstruct '( (( "a" "q" "t" ) 0) (( "r" "a" ) 0) (( "r" "aa" "sx" "tx" ) 0) (( "r" "ii" "y" ) 0) ))
new parser:अंतरराष्ट्रीय	(set! wordstruct '( (( "a" "q" ) 0) (( "t" "a" "r" ) 0) (( "r" "aa" "sx" "tx" ) 0) (( "r" "ii" "y" ) 0) ))
old parser:अक़्लमंदी	(set! wordstruct '( (( "a" "kq" ) 0) (( "l" "a" ) 0) (( "m" "a" "q" ) 0) (( "d" "ii" ) 0) ))
new parser:अक़्लमंदी	(set! wordstruct '( (( "a" "kq" "l" ) 0) (( "m" "a" "q" ) 0) (( "d" "ii" ) 0) ))
old parser:अकारण	(set! wordstruct '( (( "a" ) 0) (( "k" "aa" ) 0) (( "r" "a" "nx" ) 0) ))
new parser:अकारण	(set! wordstruct '( (( "a" ) 0) (( "k" "aa" "r" ) 0) (( "nx" "a" ) 0) ))
old parser:अक्लमंद	(set! wordstruct '( (( "a" "k" ) 0) (( "l" "a" ) 0) (( "m" "a" "q" "d" ) 0) ))
new parser:अक्लमंद	(set! wordstruct '( (( "a" "k" "l" ) 0) (( "m" "a" "q" "d" ) 0) ))
old parser:अक्षय	(set! wordstruct '( (( "a" "k" ) 0) (( "sx" "a" "y" ) 0) ))
new parser:अक्षय	(set! wordstruct '( (( "a" "k" "sx" ) 0) (( "y" "a" ) 0) ))
old parser:अक्षर	(set! wordstruct '( (( "a" "k" ) 0) (( "sx" "a" "r" ) 0) ))
new parser:अक्षर	(set! wordstruct '( (( "a" "k" "sx" ) 0) (( "r" "a" ) 0) ))
old parser:अक्षरशः	(set! wordstruct '( (( "a" "k" ) 0) (( "sx" "a" ) 0) (( "r" "a" ) 0) (( "sh" "a" "hq" ) 0) ))
new parser:अक्षरशः	(set! wordstruct '( (( "a" "k" "sx" ) 0) (( "r" "a" ) 0) (( "sh" "a" "hq" ) 0) ))
old parser:अक्षरोँ	(set! wordstruct '( (( "a" "k" ) 0) (( "sx" "a" ) 0) (( "r" "o" "mq" ) 0) ))
new parser:अक्षरोँ	(set! wordstruct '( (( "a" "k" "sx" ) 0) (( "r" "o" "mq" ) 0) ))
old parser:अक्षरों	(set! wordstruct '( (( "a" "k" ) 0) (( "sx" "a" ) 0) (( "r" "o" "q" ) 0) ))
new parser:अक्षरों	(set! wordstruct '( (( "a" "k" "sx" ) 0) (( "r" "o" "q" ) 0) ))
old parser:अक्सर	(set! wordstruct '( (( "a" "k" ) 0) (( "s" "a" "r" ) 0) ))
new parser:अक्सर	(set! wordstruct '( (( "a" "k" "s" ) 0) (( "r" "a" ) 0) ))
old parser:अग्रज	(set! wordstruct '( (( "a" "g" ) 0) (( "r" "a" "j" ) 0) ))
new parser:अग्रज	(set! wordstruct '( (( "a" "g" "r" ) 0) (( "j" "a" ) 0) ))
old parser:अग्रवाल	(set! wordstruct '( (( "a" "g" ) 0) (( "r" "a" ) 0) (( "w" "aa" "l" ) 0) ))
new parser:अग्रवाल	(set! wordstruct '( (( "a" "g" "r" ) 0) (( "w" "aa" "l" ) 0) ))
old parser:अड़चन	(set! wordstruct '( (( "a" "dxq" ) 0) (( "c" "a" "n" ) 0) ))
new parser:अड़चन	(set! wordstruct '( (( "a" ) 0) (( "dxq" "a" ) 0) (( "c" "a" "n" ) 0) ))
old parser:अड़तालीस	(set! wordstruct '( (( "a" "dxq" ) 0) (( "t" "aa" ) 0) (( "l" "ii" "s" ) 0) ))
